英雄名称,皮肤名称,基础品质,是否限定,原始品质,获取方式分类,原始获取方式,上线年份,上线月份,日期是否有效,原始上线时间,付费层级
赵云,飞龙神将,传说,否,传说,直售类,商城直售获取,2026,07,是,20260703,高端付费
姬小满,灵喵仙官,史诗,否,史诗,直售类,商城直售获取,2026,07,是,20260703,中端付费
孙权,仙扇使者,史诗,否,史诗,直售类,商城直售获取,2026,06,是,20260625,中端付费
艾琳,繁夏笺,史诗,否,史诗,战令类,S44赛季战令进阶版获取,2026,06,是,20260625,中端付费
赵怀真,逢春序,勇者→史诗,否,勇者→史诗,战令类,S44赛季战令免费版获取,2026,06,是,20260625,免费/其他
金蝉,济世禅心,史诗,否,史诗,免费福利类,碎片商店兑换&商城直售获取,2026,06,是,20260625,中端付费
海诺,烬夜裁决,勇者,否,勇者,直售类,月度福利礼册&商城直售获取,2026,06,是,20260601,入门付费
墨子,碎光执事,勇者,否,勇者,免费福利类,限时活动&碎片商城兑换&商城直售获取,2026,05,是,20260529,入门付费
杨戬,神目破阵,勇者,否,勇者,直售类,60点券限时秒杀,2026,05,是,20260522,入门付费
朵莉亚,幻海寻迹,勇者,否,勇者,免费福利类,碎片商城兑换&商城直售获取,2026,05,是,20260520,入门付费
刘禅,超级夜猫侠,史诗,否,史诗,无官方数据,5月礼册上新,2026,05,是,20260501,中端付费
铠,东海龙王·敖光,珍品传说,否,珍品传说,免费福利类,限时活动获取,2026,04,是,20260429,高端付费
芈月,西海龙王·敖闰,珍品传说,否,珍品传说,免费福利类,限时活动获取,2026,04,是,20260429,高端付费
敖隐,灵珠·敖丙,传说,是,传说限定,直售类,商城直售获取,2026,04,是,20260429,高端付费
哪吒,魔丸·哪吒,传说,是,传说限定,直售类,商城直售获取,2026,04,是,20260429,高端付费
姜子牙,弘道录,史诗,否,史诗,免费福利类,限时活动&商城直售获取,2026,04,是,20260429,中端付费
鲁班七号,极速特派,勇者,否,勇者,免费福利类,限时活动&碎片商店&商城直售获取,2026,04,是,20260423,入门付费
米莱狄,青瓷雀吟,史诗,否,史诗,直售类,60点券限时秒杀,2026,04,是,20260423,中端付费
后羿,天穹守望者,史诗,否,史诗,战令类,S43赛季战令进阶版获取,2026,04,是,20260401,中端付费
海月,海之女神,史诗,否,史诗,战令类,S43赛季战令免费版获取,2026,04,是,20260401,中端付费
大乔,微风如诗,勇者,否,勇者,免费福利类,碎片商店兑换&商城直售获取,2026,04,是,20260401,入门付费
雅典娜,执弈定局,勇者,否,勇者,直售类,月度福利礼册&商城直售获取,2026,04,是,20260401,入门付费
影,百相守梦,勇者,否,勇者,免费福利类,限时活动&碎片商店兑换&商城直售获取,2026,03,是,20260319,入门付费
阿轲,罗刹妄海,传说,否,传说,直售类,商城直售获取,2026,03,是,20260306,高端付费
达摩,星君·亢金,史诗,否,史诗,直售类,商城直售获取,2026,02,是,20260227,中端付费
韩信,踏浪归,传说,否,传说,直售类,商城直售获取,2026,02,是,20260220,高端付费
上官婉儿,春霖将至,史诗,否,史诗,直售类,商城直售获取,2026,02,是,20260218,中端付费
貂蝉,神骥·聚万邦,传说,是,传说限定,直售类,商城限时直售获取,2026,02,是,20260215,高端付费
马超,神骥·逐星野,传说,是,传说限定,直售类,商城限时直售获取,2026,02,是,20260215,高端付费
狄仁杰,神骥·赴朔漠,传说,是,传说限定,直售类,商城限时直售获取,2026,02,是,20260215,高端付费
朵莉亚,神骥·鸣幻洲,传说,是,传说限定,直售类,商城限时直售获取,2026,02,是,20260215,高端付费
关羽,神骥·镇沧海,传说,是,传说限定,直售类,商城限时直售获取,2026,02,是,20260215,高端付费
云缨,神骥·越千峰,传说,是,传说限定,直售类,商城限时直售,2026,02,是,20260215,高端付费
安琪拉,颠倒童话·魔镜,荣耀典藏,否,荣耀典藏,免费福利类,荣耀水晶兑换,2026,02,是,20260215,高端付费
李信,问心剑,无双,否,无双,抽奖类,无双祈愿获取,2026,02,是,20260215,高端付费
伽罗,沧流箭,珍品传说,否,珍品传说,免费福利类,限时活动获取,2026,02,是,20260215,高端付费
明世隐,百晓客,史诗,否,史诗,免费福利类,限时活动&商城限时直售获取,2026,02,是,20260215,中端付费
李元芳,星君·娄金,传说,是,传说限定,免费福利类,参与游戏内【新春累充】限时活动获取,2026,02,是,20260215,高端付费
太乙真人,瓦猫非猫,史诗,否,史诗,免费福利类,限时点券商城兑换&商城直售获取,2026,02,是,20260215,中端付费
吕布,舞狮寰,勇者,否,勇者,直售类,60点券限时秒杀,2026,02,是,20260215,入门付费
敖隐,赤刃凌霄,勇者,否,勇者,直售类,60点券限时秒杀,2026,02,是,20260215,入门付费
花木兰,异界灵契,传说,否,传说,直售类,商城限时直售,2026,02,是,20260214,高端付费
钟馗,锁墨魂,史诗,否,史诗,免费福利类,商城-蔷薇之心专区兑换,2026,02,是,20260212,中端付费
盘古,撼世英歌,史诗,否,史诗,直售类,商城限时直售获取,2026,02,是,20260206,中端付费
兰陵王,雾影缉谜,勇者,否,勇者,免费福利类,王者水晶兑换,2026,02,是,20260205,入门付费
蔡文姬,奇遇梦乡,史诗,否,史诗,直售类,商城直售获取,2026,01,是,20260130,中端付费
王昭君,长夜焕生,传说,否,传说,直售类,商城直售获取,2026,01,是,20260123,高端付费
鲁班七号,班班快跑,勇者,否,勇者,免费福利类,皮肤碎片兑换&商城直售获取,2026,01,是,20260122,入门付费
妲己,线条小狗,勇者,否,勇者,直售类,60点券限时秒杀,2026,01,是,20260115,入门付费
吕布,千魇归渊,荣耀典藏,否,荣耀典藏,免费福利类,荣耀水晶兑换,2026,01,是,20260108,高端付费
小乔,线条小狗,史诗,否,史诗,战令类,荣耀战令获取,2026,01,是,20260108,中端付费
周瑜,线条小狗,史诗,否,史诗,战令类,荣耀战令获取,2026,01,是,20260108,中端付费
桑启,线条小狗,勇者,否,勇者,免费福利类,全周期48皮肤碎片/488点券双货币直购,2026,01,是,20260108,入门付费
项羽,九幽镇关,史诗,否,史诗,免费福利类,获得S38-S41赛季全部王者印记或通过时空能量充能获取,2026,01,是,20260108,中端付费
蒙恬,苍云破阵,勇者,否,勇者,直售类,60点券限时秒杀,2026,01,是,20260102,入门付费
孙悟空,无相,无双,否,无双,抽奖类,无双祈愿获取,2026,01,是,20260101,高端付费
鬼谷子,谜偶窥秘,勇者,否,勇者,直售类,月度福利礼册概率获得，首月结束后商城直售,2026,01,是,20260101,入门付费
安琪拉,糖果风暴,勇者,否,勇者,直售类,60点券限时秒杀,2026,01,是,20260101,入门付费
虞姬,溯影追猎,勇者,否,勇者,免费福利类,限时活动获取、皮肤碎片兑换或者商城购买,2025,12,是,20251230,入门付费
蚩奼,极光幻客,勇者,否,勇者,直售类,60点券限时秒杀,2025,12,是,20251204,入门付费
曹操,逐霄之志,勇者,否,勇者,直售类,60点券限时秒杀,2025,11,是,20251107,入门付费
杨戬,纵目迁山,传说,是,传说限定,直售类,商城限时直售获取,2025,10,是,20251025,高端付费
少司缘,巫礼祀神,史诗,是,史诗限定,直售类,商城限时直售获取,2025,10,是,20251025,中端付费
艾琳,鹤鸣心笺,勇者,否,勇者,无官方数据,10月25日~10月26日登录送,2025,10,是,20251025,入门付费
后羿,神树通天,传说,否,传说,免费福利类,限时点券商城兑换&皮肤碎片兑换,2025,10,是,20251015,高端付费
女娲,万灵启世,史诗,否,史诗,免费福利类,限时活动&商城限时直售获取,2025,10,是,20251015,中端付费
孙权,径山谋武,勇者,否,勇者,直售类,商城直售获取,2025,10,是,20251010,入门付费
曹操,万灵伏威,传说,否,传说,直售类,商城直售获取,2025,10,是,20251006,高端付费
百里玄策,罗小黑战记,史诗,否,史诗,直售类,月度福利礼册概率获取&商城限时直售,2025,10,是,20251001,中端付费
铠,神罪,无双,否,无双,抽奖类,无双祈愿获取,2025,09,是,20250929,高端付费
张良,罗小黑战记,勇者,否,勇者,免费福利类,皮肤碎片限时兑换&商城限时直售,2025,09,是,20250929,入门付费
莱西奥,光戈星穹,史诗,否,史诗,战令类,荣耀战令获取,2025,09,是,20250925,中端付费
兰陵王,傩神司,史诗,否,史诗,战令类,荣耀战令获取,2025,09,是,20250925,中端付费
明世隐,往忆晖光,勇者,否,勇者,战令类,荣耀战令获取,2025,09,是,20250925,入门付费
亚瑟,荣光之誓,勇者,否,勇者,免费福利类,赛季任务等级达到10级获取,2025,09,是,20250925,入门付费
哪吒,罗小黑战记,勇者,否,勇者,免费福利类,限时活动获取,2025,09,是,20250911,入门付费
桑启,青衿临川,勇者,否,勇者,直售类,60点券限时秒杀,2025,09,是,20250904,入门付费
干将莫邪,千山共赴,传说,否,传说,直售类,商城限时直售,2025,08,是,20250828,高端付费
公孙离,涂山容容,史诗,否,史诗,直售类,商城限时直售,2025,08,是,20250828,中端付费
元歌,诡秘之主,传说,是,传说限定,直售类,商城直售获取,2025,08,是,20250822,高端付费
弈星,守夜人,史诗,是,史诗限定,直售类,商城直售获取,2025,08,是,20250814,中端付费
大司命,死亡执政官,传说,是,传说限定,直售类,商城直售获取,2025,08,是,20250814,高端付费
西施,织梦人,史诗,是,史诗限定,直售类,限时点券商城获取,2025,08,是,20250814,中端付费
鬼谷子,克喵,勇者,是,勇者限定,免费福利类,限时活动获取,2025,08,是,20250814,入门付费
莱西奥,踏浪烽翎,勇者,否,勇者,免费福利类,限时活动获取,2025,08,是,20250814,入门付费
司马懿,九山相柳,史诗,是,史诗限定,直售类,商城限时直售,2025,08,是,20250808,中端付费
诸葛亮,天机白泽,无双,是,无双限定,免费福利类,限时活动获取,2025,07,是,20250731,高端付费
朵莉亚,幻珠鲛人,史诗,是,史诗限定,直售类,商城直售获取,2025,07,是,20250731,中端付费
黄忠,百相守梦,史诗,否,史诗,免费福利类,限时活动获,2025,07,是,20250731,中端付费
高渐离,落日弦歌,勇者,否,勇者,直售类,商城直售获取,2025,07,是,20250725,入门付费
云缨,赞萌露比,史诗,否,史诗,直售类,商城直售获取,2025,07,是,20250718,中端付费
钟无艳,戍鼓铭心,史诗,否,史诗,直售类,商城直售获取,2025,07,是,20250711,中端付费
空空儿,戏梦巡演,勇者,否,勇者,直售类,商城直售获取,2025,07,是,20250710,入门付费
庄周,锦麟游梦,勇者,否,勇者,免费福利类,限时活动获取,2025,07,是,20250706,入门付费
周瑜,百相守梦,史诗,否,史诗,战令类,荣耀战令获取,2025,07,是,20250703,中端付费
孙策,百相守梦,勇者,否,勇者,战令类,荣耀战令获取,2025,07,是,20250703,入门付费
甄姬,逆浪荇歌,勇者,否,勇者,免费福利类,赛季任务等级达到10级获取,2025,07,是,20250703,入门付费
宫本武藏,黑崎一护,珍品传说,否,珍品传说,免费福利类,限时活动获取,2025,06,是,20250619,高端付费
后羿,石田雨龙,史诗,否,史诗,免费福利类,皮肤碎片商店限时兑换,2025,06,是,20250619,中端付费
暃,朽木白哉,珍品传说,否,珍品传说,免费福利类,限时活动获取,2025,06,是,20250619,高端付费
白起,死霸装,勇者,否,勇者,免费福利类,限时活动获取,2025,06,是,20250619,入门付费
牛魔,小刘鸭,史诗,是,史诗限定,直售类,商城限时直售,2025,06,是,20250606,中端付费
姬小满,小满鸭,勇者,否,勇者,免费福利类,限时活动获取,2025,06,是,20250605,入门付费
阿古朵,布丁狗之约,勇者,否,勇者,免费福利类,限时活动获取,2025,04,是,20250423,入门付费
雅典娜,潮玩士官长,勇者,否,勇者,直售类,商城直售获取,2025,05,是,20250530,入门付费
露娜,命运加冕,勇者,否,勇者,免费福利类,限时活动获取,2025,05,是,20250528,入门付费
貂蝉,馥梦繁花,珍品传说,否,珍品传说,抽奖类,慕夏祈愿活动获取,2025,05,是,20250520,高端付费
安琪拉,酷洛米之心,珍品传说,否,珍品传说,免费福利类,限时活动获取,2025,04,是,20250428,高端付费
瑶,大耳狗之梦,珍品传说,否,珍品传说,免费福利类,限时活动获取,2025,04,是,20250428,高端付费
亚瑟,布丁狗之誓,史诗,是,史诗限定,直售类,商城限时直售,2025,04,是,20250425,中端付费
老夫子,藏狐·褐绒,史诗,是,史诗限定,直售类,商城直售获取,2025,04,是,20250418,中端付费
张飞,兔狲·蓬尾,珍品传说,否,珍品传说,免费福利类,限时活动获取,2025,04,是,20250410,高端付费
百里守约,雪豹·霜爪,史诗,是,史诗限定,直售类,商城直售获取,2025,04,是,20250411,中端付费
张良,灵野札记,勇者,否,勇者,免费福利类,限时活动获取,2025,04,是,20250410,入门付费
公孙离,云诺千山,传说,否,传说,直售类,商城直售获取,2025,04,是,20250403,高端付费
苏烈,春野闲踪,勇者,否,勇者,免费福利类,限时活动获取,2025,04,是,20250403,入门付费
小乔,秘证寻踪,勇者,否,勇者,直售类,60点券限时秒杀,2025,04,是,20250403,入门付费
刘禅,鸭鸭历险记,史诗,否,史诗,战令类,荣耀战令获取,2025,04,是,20250401,中端付费
沈梦溪,鸭鸭历险记,勇者,否,勇者,战令类,荣耀战令获取,2025,04,是,20250401,入门付费
狂铁,龙之律动,史诗,否,史诗,无官方数据,月度福利礼册,2025,04,是,20250401,中端付费
扁鹊,灵蛊蚀心,史诗,否,史诗,直售类,商城直售获取,2025,04,是,20250401,中端付费
钟馗,虚灵犬护,勇者,否,勇者,免费福利类,赛季任务等级达到10级获取,2025,03,是,20250327,入门付费
刘备,浪漫序章,勇者,否,勇者,免费福利类,限时活动获取,2025,03,是,20250313,入门付费
阿轲,化蝶舞,史诗,否,史诗,直售类,60点券限时秒杀,2025,03,是,20250307,中端付费
芈月,瑰影绮梦,史诗,否,史诗,直售类,商城直售获取,2025,02,是,20250227,中端付费
戈娅,玫蓝誓约,勇者,否,勇者,无官方数据,无官方数据,2025,02,是,20250227,入门付费
西施,续相思,传说,是,传说限定,无官方数据,无官方数据,2025,02,是,20250214,高端付费
狄仁杰,绮世丹青,史诗,否,史诗,无官方数据,无官方数据,2025,02,是,20250221,中端付费
明世隐,景韶洛都,勇者,否,勇者,无官方数据,无官方数据,2025,02,是,20250213,入门付费
苍,狼魂孤将,史诗,否,史诗,无官方数据,无官方数据,2025,02,是,20250207,中端付费
亚连,糖绘人间,史诗,否,史诗,无官方数据,无官方数据,2025,02,是,20250202,中端付费
女娲,愿照·千秋盛,传说,是,传说限定,无官方数据,无官方数据,2025,01,是,20250128,高端付费
澜,愿照·九州拓,传说,是,传说限定,无官方数据,无官方数据,2025,01,是,20250128,高端付费
虞姬,愿照·岁时盈,传说,是,传说限定,无官方数据,无官方数据,2025,01,是,20250128,高端付费
蔡文姬,愿照·福禄聚,传说,是,传说限定,无官方数据,无官方数据,2025,01,是,20250128,高端付费
司空震,愿照·山河定,传说,是,传说限定,无官方数据,无官方数据,2025,01,是,20250128,高端付费
妲己,愿照·众生和,传说,是,传说限定,无官方数据,无官方数据,2025,01,是,20250128,高端付费
伽罗,最初的交响,荣耀暗藏,否,荣耀暗藏,无官方数据,无官方数据,2025,01,是,20250128,免费/其他
赵怀真,器灵·浮梦炉,史诗,否,史诗,无官方数据,无官方数据,2025,01,是,20250128,中端付费
嫦娥,器灵·落星盏,珍品传说,否,珍品传说,无官方数据,无官方数据,2025,01,是,20250128,高端付费
曜,器灵·螭龙剑,无双,否,无双,无官方数据,无官方数据,2025,01,是,20250128,高端付费
杨玉环,星之鸣奏,传说,是,传说限定,无官方数据,无官方数据,2025,01,是,20250131,高端付费
达摩,爆裂喵拳,勇者,否,勇者,无官方数据,无官方数据,2025,01,是,20250128,入门付费
少司缘,灵卦秘语,勇者,否,勇者,无官方数据,无官方数据,2025,01,是,20250128,入门付费
东皇太一,金福满堂,勇者,否,勇者,无官方数据,无官方数据,2025,01,是,20250123,入门付费
姜子牙,星梦巡礼,勇者,否,勇者,无官方数据,无官方数据,2025,01,是,20250123,入门付费
弈星,万物之道,勇者,否,勇者,无官方数据,无官方数据,2025,01,是,20250128,入门付费
裴擒虎,祥瑞亨通,传说,否,传说,无官方数据,无官方数据,2025,01,是,20250123,高端付费
云缨,幻光神枪,传说,否,传说,无官方数据,无官方数据,2025,01,是,20250123,高端付费
白起,苍鳞隐世,史诗,否,史诗,无官方数据,无官方数据,2025,01,是,20250117,中端付费
甄姬,雪境奇遇,无双,否,无双,无官方数据,无官方数据,2025,01,是,20250109,高端付费
西施,雪境奇遇,勇者,否,勇者,无官方数据,无官方数据,2025,01,是,20250109,入门付费
孙策,时之奇旅,珍品传说,否,珍品传说,无官方数据,无官方数据,2025,01,是,20250103,高端付费
嬴政,玄雷天君,传说,是,传说限定,无官方数据,无官方数据,2025,01,是,20250101,高端付费
姬小满,飞车小橘子,史诗,否,史诗,无官方数据,无官方数据,2025,01,是,20250101,中端付费
